vehicle_id,speed,time_from_spawn,color,type
615,0.0,1343.0,-1#-1#0#-1,car
618,0.0,1339.5,-1#-1#0#-1,car
580,0.0,1378.0,-1#-1#0#-1,car
340,0.0,1618.0,-1#-1#0#-1,car
582,1.1429057114797121E-4,1376.0,-1#-1#0#-1,car
583,5.395450269823196,1375.0,-1#-1#0#-1,car
584,0.0,1374.0,-1#-1#0#-1,car
464,5.598318648461973,1494.0,-1#-1#0#-1,car
465,0.0,1493.0,-1#-1#0#-1,car
586,0.0,1372.0,-1#-1#0#-1,car
587,11.163162725945421,1371.0,-1#-1#0#-1,car
225,0.0,1733.0,-1#-1#0#-1,car
346,0.0,1612.0,-1#-1#0#-1,car
467,3.7662002716161678,1491.0,-1#-1#0#-1,car
621,0.0,1337.0,-1#-1#0#-1,car
501,0.0,1457.0,-1#-1#0#-1,car
622,0.0,1336.0,-1#-1#0#-1,car
228,0.0,1730.0,-1#-1#0#-1,car
624,0.0,1334.0,-1#-1#0#-1,car
108,0.0,1850.0,-1#-1#0#-1,car
507,0.0,1451.0,-1#-1#0#-1,car
628,0.0,1318.5,-1#-1#0#-1,car
508,0.0,1450.0,-1#-1#0#-1,car
509,0.0,1449.0,-1#-1#0#-1,car
